tIF,G_if,Tcell_if,Tamb_if,loadFactor_if,pf_if,P_load_if,Q_load_if,I_load_if,Vpv_mpp_if,Ipv_mpp_if,Vdc_cmd_if,D_mppt_if,Ppv_available_if,P_meas_if,P_pred_if,V_meas_if,V_pred_if,I_meas_if,I_pred_if,T_meas_if,T_case_if,T_junction_if,absP_if,absV_if,absI_if,absT_if,P_loss_if,capHealth_if
20,914.926273575937,37.2732992890442,26.7380863062664,0.865921222604865,0.851258361769751,7793.29100344379,4804.06969250523,12.7365198910885,759.467510531766,11.5505989343281,800,0.0506656118352926,8772.30461780504,7802.2802738335,7793.29100344379,305.37264601395,305.02,12.7368678246119,12.7724795944055,33.3835295641212,33.3691445974389,39.455132468922,8.9892703897176,0.352646013949709,0.0356117697935741,0.0143849666822717,241.029618663211,1
21,883.071050603342,30.9251915742104,26.9180041598593,0.926828622951648,0.848162935558391,8341.45760656483,5209.80759384219,13.6821369411677,774.483959331205,11.2165458024484,800,0.0318950508359934,8687.03480310003,8369.70832044543,8341.45760656483,306.020642533636,305.02,13.8628110710776,13.7207664560866,32.870710493388,33.7583026459447,39.9412485846677,28.2507138805977,1.00064253363638,0.142044614991052,0.887592152556792,257.983224945305,1
22,905.236942573755,40.3411842968866,29.3394681607323,0.889421518938757,0.843810985711143,8004.79367044881,5090.82781196236,13.1976389411058,752.210428545715,11.3935350541109,800,0.0597369643178566,8570.33588570336,8099.04915868252,8004.79367044881,302.174672745677,305.02,13.1960677430324,13.2349005466987,36.7597746528002,36.3410608124011,42.5256940892066,94.2554882337099,2.84532725432314,0.0388328036663257,0.418713840399121,247.570938261304,1
23,921.10083835623,35.591394672805,29.146379162482,0.836289104264806,0.860024883923321,7526.60193838325,4465.52706626836,12.1752869798601,763.44605590148,11.647644385371,800,0.0456924301231502,8892.34816655452,7585.93904152436,7526.60193838325,304.734783217015,305.02,12.0778423880697,12.2096621240392,35.2057264410096,36.2546478648666,42.3419222895171,59.3371031411098,0.285216782985117,0.131819735969424,1.04892142385691,232.781503248967,1
24,909.806121799814,36.929844093695,29.6990162376005,0.872725742352259,0.843754715228487,7854.53168117033,4996.42203344108,12.9507630898269,760.279953796364,11.4898262683558,800,0.0496500577545445,8735.48458443377,7975.33415451046,7854.53168117033,304.094154770297,305.02,12.8286943749095,12.9873276775182,37.636944695346,36.9509648643736,43.0344571773999,120.802473340123,0.925845229702759,0.158633302608777,0.6859798309724,242.923660242382,1
25,913.57508137434,36.750141151996,27.8603760287789,0.85090923723298,0.861697013895179,7658.18313509682,4509.63548710232,12.364097913919,760.705041104954,11.5394525200108,800,0.049118698618808,8778.11970356348,7614.34819892831,7658.18313509682,304.106013098092,305.02,12.1972774962524,12.3990061381882,36.486230599684,35.2315481201065,41.2717826483045,43.834936168515,0.913986901908061,0.201728641935819,1.25468247957746,236.85102479681,1
26,921.686798402536,36.3660175189534,27.0941307522595,0.898193373463255,0.860422864729921,8083.74036116929,4787.55071807642,13.0704845870053,761.613685558916,11.646279316569,800,0.0479828930513553,8869.96571334067,8062.16069349838,8083.74036116929,306.290497778226,305.02,13.2004384367115,13.1073871908545,35.2941221122736,34.6276466729081,40.7239025835184,21.5796676709106,1.27049777822572,0.0930512458569712,0.666475439365549,250.012588489773,1
27,917.153850343558,35.7845969911285,27.0293568586383,0.943524916061408,0.852254843672509,8491.72424455267,5212.34795879594,13.8617378227397,762.989035817486,11.5955594724658,800,0.0462637052281432,8847.284741661,8449.09207427568,8491.72424455267,306.392640961755,305.02,14.0127292251568,13.900874414511,34.5902210013995,34.7584361139439,40.9798947599831,42.6321702769965,1.3726409617546,0.111854810645816,0.168215112544424,262.630646738743,1
28,921.122311033857,36.8077248871371,28.8937841881136,0.906080565449533,0.831816362475108,8154.7250890458,5441.45075739577,13.6387051819505,760.568826779477,11.6341271427191,800,0.0492889665256535,8848.55443154111,8167.34083012087,8154.7250890458,303.937508536843,305.02,13.5840229233967,13.6772120736419,36.8523504089633,36.7689972425966,43.0127868659901,12.6157410750748,1.08249146315666,0.0931891502451556,0.0833531663666847,252.207992444716,1
29,926.346341203586,34.1962459112507,27.8729325073243,0.853124705433296,0.837369471561263,7678.12234889966,5012.30152941637,12.7564308921892,766.746280296937,11.7297530924995,800,0.0415671496288293,8993.7445524755,7705.43589973931,7678.12234889966,304.6643728946,305.02,12.8603505351715,12.7924468113092,36.0417727354364,35.83889628399,42.0007933512276,27.3135508396545,0.355627105399833,0.0679037238623224,0.202876451446443,237.467701512361,1
30,923.176859424984,32.1692483439966,28.5648061282914,0.861214986616978,0.849042620897418,7750.9348795528,4823.08849764428,12.7003553420922,771.541143042276,11.7122247168102,800,0.0355735711971549,9036.46324557571,7716.88486279238,7750.9348795528,305.540814041883,305.02,12.7180506553218,12.7362129400882,35.2608245839266,36.6316471245366,42.7485025435115,34.0500167604205,0.520814041882943,0.0181622847664222,1.37082254060999,239.719635450088,1
31,920.691521677465,33.749492438746,27.5287208849238,0.942111325263415,0.865473768978621,8479.00192737073,4907.82292654664,13.6295682974206,767.803075636146,11.6631425118857,800,0.0402461554548169,8954.99669220852,8488.17703999377,8479.00192737073,305.378796696942,305.02,13.6638293087427,13.6680493924533,36.4520691687193,35.7714108824524,42.0053526764437,9.17511262303378,0.358796696942022,0.00422008371060656,0.680658286266969,262.237173011467,1
32,940.134746419357,33.1430558615583,28.3391741807478,0.926707191966371,0.860107674784888,8340.36472769734,4946.50220227046,13.4903586537329,769.237601359484,11.9163437787715,800,0.0384529983006452,9166.49970535723,8269.6874623948,8340.36472769734,305.034816924142,305.02,13.3630670000473,13.5284467106729,37.4608500364809,36.7299628070379,43.0211829530846,70.6772653025419,0.0148169241420533,0.165379710625658,0.730887229443006,257.94942456796,1
33,908.454765141498,35.7973510496333,26.7308646988124,0.851073537545403,0.828842691279589,7659.66183790863,5170.39097015795,12.8566778032603,762.958866092092,11.4854348614163,800,0.0463014173848845,8762.91435844077,7681.92704510959,7659.66183790863,303.919186680892,305.02,12.7984477963514,12.8929767548893,34.866202194349,35.1909304207769,41.3838035803676,22.2652072009623,1.100813319108,0.0945289585378895,0.324728226427901,236.896757873464,1
34,900.412178719361,38.3870207301046,29.3019713322616,0.885946085267326,0.84972426384456,7973.51476740593,4947.31669557578,13.054584663525,756.833002462938,11.354896378446,800,0.0539587469213281,8593.76031875484,7998.24509422259,7973.51476740593,301.074218775508,305.02,13.2059356242722,13.091442376263,38.4221650367559,37.8680861055553,44.0535500859711,24.7303268166579,3.9457812244915,0.114493248009106,0.554078931200678,246.603549507401,1
35,910.445762763022,33.7041843084156,28.064510245036,0.884237767122578,0.859279433512043,7958.1399041032,4737.27146806637,12.8845254725391,767.910252018443,11.5338511848759,800,0.0401121849769462,8856.96257012124,7961.07192217186,7958.1399041032,304.061182362665,305.02,12.9181846413143,12.9209030479942,36.6352953585955,36.7322870008745,42.909147508321,2.93201806865363,0.958817637335471,0.00271840667990197,0.0969916422790362,246.128038271234,1
36,911.461639326505,38.1578925123751,27.1157286523526,0.874488555293991,0.851329844706828,7870.39699764592,4850.12106988057,12.8614536492026,757.375005261977,11.4968422842403,800,0.053281243422529,8707.42098552259,7922.69183697618,7870.39699764592,305.690827372538,305.02,12.8862341168025,12.897766084735,34.6056641928989,35.873545498804,42.0260054718206,52.2948393302622,0.670827372537701,0.0115319679325019,1.26788130590512,243.41434013338,1
37,953.208503145528,38.2957942845396,28.4460726827043,0.898622179232111,0.875284900302722,8087.599613089,4468.51637592946,12.8546862858491,757.048798619922,12.0217835764257,800,0.0536890017250982,9101.0768138018,8206.75067708073,8087.599613089,303.790955377576,305.02,13.0473777123583,12.8909796147196,38.7778404744817,37.3151951296502,43.4945454218395,119.15106399173,1.22904462242354,0.156398097638698,1.46264534483154,250.131946796568,1
38,897.216373352053,35.0227580853018,29.6417661048533,0.861211110322458,0.857982836304882,7750.89999290213,4640.50024224317,12.5679605642456,764.791165749219,11.3518612264997,800,0.0440110428134767,8681.80318083802,7674.89598948763,7750.89999290213,305.167836091926,305.02,12.6196202225734,12.603444364927,37.1362379714584,38.5822085723183,44.7118558298006,76.0040034144959,0.147836091926365,0.0161758576464042,1.44597060085991,239.71855648151,1
39,927.942527728031,36.3579368284543,28.3745940936557,0.882861846975362,0.848349508803997,7945.75662277825,4958.77501939663,13.0302192029426,761.632800432291,11.7254180366252,800,0.0479589994596357,8930.46297547416,8004.81551870528,7945.75662277825,305.476397457043,305.02,13.0300830304732,13.067008123362,37.569778273011,37.4076148448652,43.5409898349456,59.0588959270253,0.456397457043067,0.0369250928888309,0.162163428145831,245.745050189019,1
40,928.12174657525,33.269674063436,28.0411458964956,0.883677189378987,0.855979208498203,7953.09470441088,4803.65809112949,12.9260018583026,768.938086002942,11.7626574836292,800,0.0388273924963223,9044.75533177,7954.46498456723,7953.09470441088,302.760868293524,305.02,12.7877130880492,12.9624965362739,37.1298283357414,37.1644109405195,43.3020326076941,1.37028015635042,2.25913170647618,0.174783448224661,0.0345826047780307,245.972001167348,1
41,935.921790610323,39.1201396007789,27.1360564652241,0.929012316743161,0.867084208995473,8361.11085068845,4803.66759338296,13.4151020313192,755.098809774358,11.7941202123499,800,0.056126487782053,8905.72613468114,8353.9159334973,8361.11085068845,307.249676716449,305.02,13.5566357737446,13.4529776121795,37.2252317390072,36.3885576928485,42.6134206303619,7.19491719114376,2.22967671644921,0.103658161565084,0.836674046158628,258.591057237788,1
42,900.470534093401,36.3976126751508,28.4195389385409,0.864738039905499,0.846790199924127,7782.64235914949,4888.81163007984,12.7862304097729,761.538947216931,11.3778436308684,800,0.0480763159788364,8664.6710602504,7760.66384421468,7782.64235914949,304.10405570962,305.02,12.7081855445033,12.8223304634776,37.8090860312995,37.7316622986847,43.9012303138542,21.9785149348054,0.915944290379798,0.114144918974306,0.0774237326147897,240.700279148954,1
43,958.065605480185,36.1267244035957,28.7379969882416,0.894662760792861,0.866341893708239,8051.96484713575,4642.00718465108,12.9301579483148,762.179733423294,12.1087781271138,800,0.047275333220882,9229.06528500543,8016.00318362915,8051.96484713575,303.544616437594,305.02,12.8279871863442,12.9666643603991,37.0791857100454,38.1393432235644,44.3238920389091,35.9616635065986,1.47538356240614,0.138677174054981,1.06015751351896,249.029840633065,1
44,919.341976530413,34.1737146856643,28.9808938770497,0.898672210489107,0.852817805473071,8088.04989440196,4952.58066026472,13.1940716595559,766.799577911061,11.6413129061835,800,0.0415005276111735,8926.55382279211,8081.19495994345,8088.04989440196,308.836222547267,305.02,13.1314601183038,13.2313231934504,37.2527574724289,38.4713729035692,44.6743478549736,6.85493445850716,3.81622254726659,0.0998630751466507,1.21861543114032,250.145873022742,1
45,944.483749477589,35.5546986260928,27.4168529236884,0.926629373344663,0.834643185864044,8339.66436010197,5503.44428830616,13.9007744326545,763.532860399977,11.9437544234731,800,0.0455839245000281,9119.44897886927,8311.00410631638,8339.66436010197,301.911969826086,305.02,13.9483777870376,13.9400212385913,35.5229454261736,37.0183438859841,43.286710608444,28.6602537855961,3.10803017391373,0.00835654844629197,1.49539845981051,257.927763714495,1
